19790101
20,34.4
20.2,32.2
20.4,33
20,35
20.4,34
20.2,36
16.8,33.2
16.8,20.2
17,22.4
15.4,20
17.6,25
20,30.8
18,28.4
19.4,31
20,31
16,28
15.8,20.2
17,24
17.4,28
17.2,31.2
17.8,30
20.6,31.4
17.6,31
18,27.2
18.6,30
19.2,31
18,29.4
17.8,22
18,27.6
18.4,31
18.4,31.2
18.2,31
18,26.8
20,29
19,28.2
20,33
18,29.4
18,24
17,26.6
18,28
18.4,30
20.2,31.2
16.6,32.2
20,31
19,28
19,30
19,32
16,24
16,22.6
16.6,25.2
17.4,26.6
18,28
15.4,24
14,18.4
14.2,18.8
15,21.4
15.4,22.6
16,21
16,24.4
17,25.4
17.2,29
14.4,21.2
13.6,21.4
12,24
14.4,26.8
16.4,24
16.4,22.8
16.2,21.6
17,22
17.2,24
18,26
17.6,27
18,30
18.4,24
19,25.2
18.4,29
14,22
11,21
16.2,23
16.2,25
15.6,22.8
17.6,28
18,28.6
18,24.6
17,28
14.4,26
15.4,27
16.2,29
15,20
14.4,23
13.6,24
14,23
14.4,22
14.2,23.2
12.2,24
9.6,23.4
13.6,22.2
14,24
14,25
13,28
5.4,15
5.2,12
7.8,21
6,21
9,23
11,18.8
10,18
5.6,15
7.2,20
8.6,20.2
7,23
7.4,23.2
10,24.4
13.6,23.4
14,22.4
14.4,24
10,23
9.2,21.2
1.8,16
2,20.2
1,20
3.6,23.2
4.4,22.4
6,22.6
7.2,26
8,18
2,20.6
4.4,22.2
2.6,24
4.4,24
5,23.8
10,25.6
8,20
8.2,18.4
6.6,19
7,20.4
1.8,21
7.2,22.6
4.4,21.2
4,22
3.4,22.4
8,23.8
3.8,11.2
3.4,7.4
3.2,7
1.8,7.2
4,9
-1,10.2
2,17.2
2,16.8
-1,17
-1.2,19
4.2,18
4.6,12
-1.6,10.4
-4.4,13.8
-4.6,14.4
-3.6,16
-3,17.6
-2.6,20.4
-1,20.6
0,19
1.6,21.6
4,23.4
4,24
4.2,25.2
3,25.4
8.8,23
4,19
7.2,22
9.4,20.2
3.2,21.4
-1,20.6
6.2,20.2
4.4,17
-3,16
-3.2,15.6
-2.6,20.4
0.4,24.2
0,23.4
4.8,26.4
4,25.6
4.4,24.6
5,19.6
5.2,13.2
-4.6,15.2
-3.2,16
-3,18.4
-1.6,20.6
-2.8,20.8
0,22.6
4,22.8
1,22
0,22.2
3.2,24
4.6,26
7,23.6
5.6,14.2
-1.6,13.8
3.2,16.8
-1.6,17.4
-2.8,18.2
-1.6,20.6
-1,24
1.8,27
3.6,30.6
5,30.6
8,33
9,21.4
8,24
3.8,28
3.8,20
1.6,19
-2,22
-2,24.2
0.6,25.6
5,25.6
6.4,29.6
9,30
10,30
11.2,34
12,23.4
13.6,18.6
14,27.8
13.2,17.6
13.2,22.2
9,23
2.8,20
3.2,24
4.4,26
7.6,28.2
8,33
9,24
6,19.8
4,24.6
5,26.2
6,29.4
8,30
14,31
11.6,21
11.2,18
8.6,18.4
8.6,27
9,28.4
10,32.2
13,33
14,31.4
12.6,28.6
12.6,20.4
14,33.6
10.6,22.6
9,30
8,17.6
7,25
10,28
10.4,28.2
10,23.6
13,26
11.6,20.4
13,25.2
14.4,28.8
16,32
16.2,33.2
9.2,32.2
8,19
7,24
13,27.6
10.4,25.2
12,31
13,32.2
14,32.2
14.6,34
14,30
14.2,32.4
18.4,37.4
18,38
14,34
17.4,34.2
19,33
19,36.4
15,33.2
14.6,18
14.6,22
14.6,27.4
10.6,31.8
9.6,14.8
14,22.2
16,24.8
16.2,28
16.4,31.4
16.6,22.2
18,26.6
17.6,30
15.4,35
15,22
13,30
11.2,15.4
14,23.2
18,29
18.6,24.4
19,33
19.2,34.2
17,37.2
17.8,23
18,27.4
19.6,32
20,29.6
20,33
20,31
18,34.6
18.4,35
18.6,30.8
19,32.2
17.2,35.6
17.2,22.2
18,26
18.2,26.6
19,24
20,27
18.4,26.6
18,24
20,30.6
18,37.6
19,23.2
18.6,28
19,24.2
20,26
20.6,29
21,32
19,33
21.2,36
19.4,37
18,24
20.6,26
21.8,36
18,26.2
20,35.2
22.2,32
20.6,36
21,33
17.2,33.2
17,28.4
21,32
17.8,34
18,25
18,32
16.4,25
17.2,22.2
16.8,30.6
17.6,32
17.4,28
21,35.6
17.2,38.4
18,25
18,24.6
18,24
20.2,33
15.4,25.2
13,28
13,31
18.4,30.2
18.4,30.8
19,32.8
19.2,32
19,34
20,34.4
20.2,32.2
20.4,33
20,35
20.4,34
20.2,36
16.8,33.2
16.8,20.2
17,22.4
15.4,20
17.6,25
20,30.8
18,28.4
19.4,31
20,31
16,28
15.8,20.2
17,24
17.4,28
17.2,31.2
17.8,30
20.6,31.4
17.6,31
18,27.2
18.6,30
19.2,31
18,29.4
17.8,22
18,27.6
18.4,31
18.4,31.2
18.2,31
18,26.8
20,29
19,28.2
20,33
18,29.4
18,24
17,26.6
18,28
18.4,30
20.2,31.2
16.6,32.2
20,31
19,28
19,30
19,32
16,24
16,22.6
16.6,25.2
17.4,26.6
18,28
15.4,24
14,18.4
14.2,18.8
15,21.4
15.4,22.6
16,21
16,24.4
17,25.4
17.2,29
14.4,21.2
13.6,21.4
12,24
14.4,26.8
16.4,24
16.4,22.8
16.2,21.6
17,22
17.2,24
18,26
17.6,27
18,30
18.4,24
19,25.2
18.4,29
14,22
11,21
16.2,23
16.2,25
15.6,22.8
17.6,28
18,28.6
18,24.6
17,28
14.4,26
15.4,27
16.2,29
15,20
14.4,23
13.6,24
14,23
14.4,22
14.2,23.2
12.2,24
9.6,23.4
13.6,22.2
14,24
14,25
13,28
5.4,15
5.2,12
7.8,21
6,21
9,23
11,18.8
10,18
5.6,15
7.2,20
8.6,20.2
7,23
7.4,23.2
10,24.4
13.6,23.4
14,22.4
14.4,24
10,23
9.2,21.2
1.8,16
2,20.2
1,20
3.6,23.2
4.4,22.4
6,22.6
7.2,26
8,18
2,20.6
4.4,22.2
2.6,24
4.4,24
5,23.8
10,25.6
8,20
8.2,18.4
6.6,19
7,20.4
1.8,21
7.2,22.6
4.4,21.2
4,22
3.4,22.4
8,23.8
3.8,11.2
3.4,7.4
3.2,7
1.8,7.2
4,9
-1,10.2
2,17.2
2,16.8
-1,17
-1.2,19
4.2,18
4.6,12
-1.6,10.4
-4.4,13.8
-4.6,14.4
-3.6,16
-3,17.6
-2.6,20.4
-1,20.6
0,19
1.6,21.6
4,23.4
4,24
4.2,25.2
3,25.4
8.8,23
4,19
7.2,22
9.4,20.2
3.2,21.4
-1,20.6
6.2,20.2
4.4,17
-3,16
-3.2,15.6
-2.6,20.4
0.4,24.2
0,23.4
4.8,26.4
4,25.6
4.4,24.6
5,19.6
5.2,13.2
-4.6,15.2
-3.2,16
-3,18.4
-1.6,20.6
-2.8,20.8
0,22.6
4,22.8
1,22
0,22.2
3.2,24
4.6,26
7,23.6
5.6,14.2
-1.6,13.8
3.2,16.8
-1.6,17.4
-2.8,18.2
-1.6,20.6
-1,24
1.8,27
3.6,30.6
5,30.6
8,33
9,21.4
8,24
3.8,28
3.8,20
1.6,19
-2,22
-2,24.2
0.6,25.6
5,25.6
6.4,29.6
9,30
10,30
11.2,34
12,23.4
13.6,18.6
14,27.8
13.2,17.6
13.2,22.2
9,23
2.8,20
3.2,24
4.4,26
7.6,28.2
8,33
9,24
6,19.8
4,24.6
5,26.2
6,29.4
8,30
14,31
11.6,21
11.2,18
8.6,18.4
8.6,27
9,28.4
10,32.2
13,33
14,31.4
12.6,28.6
12.6,20.4
14,33.6
10.6,22.6
9,30
8,17.6
7,25
10,28
10.4,28.2
10,23.6
13,26
11.6,20.4
13,25.2
14.4,28.8
16,32
16.2,33.2
9.2,32.2
8,19
7,24
13,27.6
10.4,25.2
12,31
13,32.2
14,32.2
14.6,34
14,30
14.2,32.4
18.4,37.4
18,38
14,34
17.4,34.2
19,33
19,36.4
15,33.2
14.6,18
14.6,22
14.6,27.4
10.6,31.8
9.6,14.8
14,22.2
16,24.8
16.2,28
16.4,31.4
16.6,22.2
18,26.6
17.6,30
15.4,35
15,22
13,30
11.2,15.4
14,23.2
18,29
18.6,24.4
19,33
19.2,34.2
17,37.2
17.8,23
18,27.4
19.6,32
20,29.6
20,33
20,31
18,34.6
18.4,35
18.6,30.8
19,32.2
17.2,35.6
17.2,22.2
18,26
18.2,26.6
19,24
20,27
18.4,26.6
18,24
20,30.6
18,37.6
19,23.2
18.6,28
19,24.2
20,26
20.6,29
21,32
19,33
21.2,36
19.4,37
18,24
20.6,26
21.8,36
18,26.2
20,35.2
22.2,32
20.6,36
21,33
17.2,33.2
17,28.4
21,32
17.8,34
18,25
18,32
16.4,25
17.2,22.2
16.8,30.6
17.6,32
17.4,28
21,35.6
17.2,38.4
18,25
18,24.6
18,24
20.2,33
15.4,25.2
13,28
13,31
18.4,30.2
18.4,30.8
19,32.8
19.2,32
19,34
20,34.4
20.2,32.2
20.4,33
20,35
20.4,34
20.2,36
16.8,33.2
16.8,20.2
17,22.4
15.4,20
17.6,25
20,30.8
18,28.4
19.4,31
20,31
16,28
15.8,20.2
17,24
17.4,28
17.2,31.2
17.8,30
20.6,31.4
17.6,31
18,27.2
18.6,30
19.2,31
18,29.4
17.8,22
18,27.6
18.4,31
18.4,31.2
18.2,31
18,26.8
20,29
19,28.2
20,33
18,29.4
18,24
17,26.6
18,28
18.4,30
20.2,31.2
16.6,32.2
20,31
19,28
19,30
19,32
16,24
16,22.6
16.6,25.2
17.4,26.6
18,28
15.4,24
14,18.4
14.2,18.8
15,21.4
15.4,22.6
16,21
16,24.4
17,25.4
17.2,29
14.4,21.2
13.6,21.4
12,24
14.4,26.8
16.4,24
16.4,22.8
16.2,21.6
17,22
17.2,24
18,26
17.6,27
18,30
18.4,24
19,25.2
18.4,29
14,22
11,21
16.2,23
16.2,25
15.6,22.8
17.6,28
18,28.6
18,24.6
17,28
14.4,26
15.4,27
16.2,29
15,20
14.4,23
13.6,24
14,23
14.4,22
14.2,23.2
12.2,24
9.6,23.4
13.6,22.2
14,24
14,25
13,28
5.4,15
5.2,12
7.8,21
6,21
9,23
11,18.8
10,18
5.6,15
7.2,20
8.6,20.2
7,23
7.4,23.2
10,24.4
13.6,23.4
14,22.4
14.4,24
10,23
9.2,21.2
1.8,16
2,20.2
1,20
3.6,23.2
4.4,22.4
6,22.6
7.2,26
8,18
2,20.6
4.4,22.2
2.6,24
4.4,24
5,23.8
10,25.6
8,20
8.2,18.4
6.6,19
7,20.4
1.8,21
7.2,22.6
4.4,21.2
4,22
3.4,22.4
8,23.8
3.8,11.2
3.4,7.4
3.2,7
1.8,7.2
4,9
-1,10.2
2,17.2
2,16.8
-1,17
-1.2,19
4.2,18
4.6,12
-1.6,10.4
-4.4,13.8
-4.6,14.4
-3.6,16
-3,17.6
-2.6,20.4
-1,20.6
0,19
1.6,21.6
4,23.4
4,24
4.2,25.2
3,25.4
8.8,23
4,19
7.2,22
9.4,20.2
3.2,21.4
-1,20.6
6.2,20.2
4.4,17
-3,16
-3.2,15.6
-2.6,20.4
0.4,24.2
0,23.4
4.8,26.4
4,25.6
4.4,24.6
5,19.6
5.2,13.2
-4.6,15.2
-3.2,16
-3,18.4
-1.6,20.6
-2.8,20.8
0,22.6
4,22.8
1,22
0,22.2
3.2,24
4.6,26
7,23.6
5.6,14.2
-1.6,13.8
3.2,16.8
-1.6,17.4
-2.8,18.2
-1.6,20.6
-1,24
1.8,27
3.6,30.6
5,30.6
8,33
9,21.4
8,24
3.8,28
3.8,20
1.6,19
-2,22
-2,24.2
0.6,25.6
5,25.6
6.4,29.6
9,30
10,30
11.2,34
12,23.4
13.6,18.6
14,27.8
13.2,17.6
13.2,22.2
9,23
2.8,20
3.2,24
4.4,26
7.6,28.2
8,33
9,24
6,19.8
4,24.6
5,26.2
6,29.4
8,30
14,31
11.6,21
11.2,18
8.6,18.4
8.6,27
9,28.4
10,32.2
13,33
14,31.4
12.6,28.6
12.6,20.4
14,33.6
10.6,22.6
9,30
8,17.6
7,25
10,28
10.4,28.2
10,23.6
13,26
11.6,20.4
13,25.2
14.4,28.8
16,32
16.2,33.2
9.2,32.2
8,19
7,24
13,27.6
10.4,25.2
12,31
13,32.2
14,32.2
14.6,34
14,30
14.2,32.4
18.4,37.4
18,38
14,34
17.4,34.2
19,33
19,36.4
15,33.2
14.6,18
14.6,22
14.6,27.4
10.6,31.8
9.6,14.8
14,22.2
16,24.8
16.2,28
16.4,31.4
16.6,22.2
18,26.6
17.6,30
15.4,35
15,22
13,30
11.2,15.4
14,23.2
18,29
18.6,24.4
19,33
19.2,34.2
17,37.2
17.8,23
18,27.4
19.6,32
20,29.6
20,33
20,31
18,34.6
18.4,35
18.6,30.8
19,32.2
17.2,35.6
17.2,22.2
18,26
18.2,26.6
19,24
20,27
18.4,26.6
18,24
20,30.6
18,37.6
19,23.2
18.6,28
19,24.2
20,26
20.6,29
21,32
19,33
21.2,36
19.4,37
18,24
20.6,26
21.8,36
18,26.2
20,35.2
22.2,32
20.6,36
21,33
17.2,33.2
17,28.4
21,32
17.8,34
18,25
18,32
16.4,25
17.2,22.2
16.8,30.6
17.6,32
17.4,28
21,35.6
17.2,38.4
18,25
18,24.6
18,24
20.2,33
15.4,25.2
13,28
13,31
18.4,30.2
18.4,30.8
19,32.8
19.2,32
19,34
20,34.4
20.2,32.2
20.4,33
20,35
20.4,34
20.2,36
16.8,33.2
16.8,20.2
17,22.4
15.4,20
17.6,25
20,30.8
18,28.4
19.4,31
20,31
16,28
15.8,20.2
17,24
17.4,28
17.2,31.2
17.8,30
20.6,31.4
17.6,31
18,27.2
18.6,30
19.2,31
18,29.4
17.8,22
18,27.6
18.4,31
18.4,31.2
18.2,31
18,26.8
20,29
19,28.2
20,33
18,29.4
18,24
17,26.6
18,28
18.4,30
20.2,31.2
16.6,32.2
20,31
19,28
19,30
19,32
16,24
16,22.6
16.6,25.2
17.4,26.6
18,28
15.4,24
14,18.4
14.2,18.8
15,21.4
15.4,22.6
16,21
16,24.4
17,25.4
17.2,29
14.4,21.2
13.6,21.4
12,24
14.4,26.8
16.4,24
16.4,22.8
16.2,21.6
17,22
17.2,24
18,26
17.6,27
18,30
18.4,24
19,25.2
18.4,29
14,22
11,21
16.2,23
16.2,25
15.6,22.8
17.6,28
18,28.6
18,24.6
17,28
14.4,26
15.4,27
16.2,29
15,20
14.4,23
13.6,24
14,23
14.4,22
14.2,23.2
12.2,24
9.6,23.4
13.6,22.2
14,24
14,25
13,28
5.4,15
5.2,12
7.8,21
6,21
9,23
11,18.8
10,18
5.6,15
7.2,20
8.6,20.2
7,23
7.4,23.2
10,24.4
13.6,23.4
14,22.4
14.4,24
10,23
9.2,21.2
1.8,16
2,20.2
1,20
3.6,23.2
4.4,22.4
6,22.6
7.2,26
8,18
2,20.6
4.4,22.2
2.6,24
4.4,24
5,23.8
10,25.6
8,20
8.2,18.4
6.6,19
7,20.4
1.8,21
7.2,22.6
4.4,21.2
4,22
3.4,22.4
8,23.8
3.8,11.2
3.4,7.4
3.2,7
1.8,7.2
4,9
-1,10.2
2,17.2
2,16.8
-1,17
-1.2,19
4.2,18
4.6,12
-1.6,10.4
-4.4,13.8
-4.6,14.4
-3.6,16
-3,17.6
-2.6,20.4
-1,20.6
0,19
1.6,21.6
4,23.4
4,24
4.2,25.2
3,25.4
8.8,23
4,19
7.2,22
9.4,20.2
3.2,21.4
-1,20.6
6.2,20.2
4.4,17
-3,16
-3.2,15.6
-2.6,20.4
0.4,24.2
0,23.4
4.8,26.4
4,25.6
4.4,24.6
5,19.6
5.2,13.2
-4.6,15.2
-3.2,16
-3,18.4
-1.6,20.6
-2.8,20.8
0,22.6
4,22.8
1,22
0,22.2
3.2,24
4.6,26
7,23.6
5.6,14.2
-1.6,13.8
3.2,16.8
-1.6,17.4
-2.8,18.2
-1.6,20.6
-1,24
1.8,27
3.6,30.6
5,30.6
8,33
9,21.4
8,24
3.8,28
3.8,20
1.6,19
-2,22
-2,24.2
0.6,25.6
5,25.6
6.4,29.6
9,30
10,30
11.2,34
12,23.4
13.6,18.6
14,27.8
13.2,17.6
13.2,22.2
9,23
2.8,20
3.2,24
4.4,26
7.6,28.2
8,33
9,24
6,19.8
4,24.6
5,26.2
6,29.4
8,30
14,31
11.6,21
11.2,18
8.6,18.4
8.6,27
9,28.4
10,32.2
13,33
14,31.4
12.6,28.6
12.6,20.4
14,33.6
10.6,22.6
9,30
8,17.6
7,25
10,28
10.4,28.2
10,23.6
13,26
11.6,20.4
13,25.2
14.4,28.8
16,32
16.2,33.2
9.2,32.2
8,19
7,24
13,27.6
10.4,25.2
12,31
13,32.2
14,32.2
14.6,34
14,30
14.2,32.4
18.4,37.4
18,38
14,34
17.4,34.2
19,33
19,36.4
15,33.2
14.6,18
14.6,22
14.6,27.4
10.6,31.8
9.6,14.8
14,22.2
16,24.8
16.2,28
16.4,31.4
16.6,22.2
18,26.6
17.6,30
15.4,35
15,22
13,30
11.2,15.4
14,23.2
18,29
18.6,24.4
19,33
19.2,34.2
17,37.2
17.8,23
18,27.4
19.6,32
20,29.6
20,33
20,31
18,34.6
18.4,35
18.6,30.8
19,32.2
17.2,35.6
17.2,22.2
18,26
18.2,26.6
19,24
20,27
18.4,26.6
18,24
20,30.6
18,37.6
19,23.2
18.6,28
19,24.2
20,26
20.6,29
21,32
19,33
21.2,36
19.4,37
18,24
20.6,26
21.8,36
18,26.2
20,35.2
22.2,32
20.6,36
21,33
17.2,33.2
17,28.4
21,32
17.8,34
18,25
18,32
16.4,25
17.2,22.2
16.8,30.6
17.6,32
17.4,28
21,35.6
17.2,38.4
18,25
18,24.6
18,24
20.2,33
15.4,25.2
13,28
13,31
18.4,30.2
18.4,30.8
19,32.8
19.2,32
19,34
20,34.4
20.2,32.2
20.4,33
20,35
20.4,34
20.2,36
16.8,33.2
16.8,20.2
17,22.4
15.4,20
17.6,25
20,30.8
18,28.4
19.4,31
20,31
16,28
15.8,20.2
17,24
17.4,28
17.2,31.2
17.8,30
20.6,31.4
17.6,31
18,27.2
18.6,30
19.2,31
18,29.4
17.8,22
18,27.6
18.4,31
18.4,31.2
18.2,31
18,26.8
20,29
19,28.2
20,33
18,29.4
18,24
17,26.6
18,28
18.4,30
20.2,31.2
16.6,32.2
20,31
19,28
19,30
19,32
16,24
16,22.6
16.6,25.2
17.4,26.6
18,28
15.4,24
14,18.4
14.2,18.8
15,21.4
15.4,22.6
16,21
16,24.4
17,25.4
17.2,29
14.4,21.2
13.6,21.4
12,24
14.4,26.8
16.4,24
16.4,22.8
16.2,21.6
17,22
17.2,24
18,26
17.6,27
18,30
18.4,24
19,25.2
18.4,29
14,22
11,21
16.2,23
16.2,25
15.6,22.8
17.6,28
18,28.6
18,24.6
17,28
14.4,26
15.4,27
16.2,29
15,20
14.4,23
13.6,24
14,23
14.4,22
14.2,23.2
12.2,24
9.6,23.4
13.6,22.2
14,24
14,25
13,28
5.4,15
5.2,12
7.8,21
6,21
9,23
11,18.8
10,18
5.6,15
7.2,20
8.6,20.2
7,23
7.4,23.2
10,24.4
13.6,23.4
14,22.4
14.4,24
10,23
9.2,21.2
1.8,16
2,20.2
1,20
3.6,23.2
4.4,22.4
6,22.6
7.2,26
8,18
2,20.6
4.4,22.2
2.6,24
4.4,24
5,23.8
10,25.6
8,20
8.2,18.4
6.6,19
7,20.4
1.8,21
7.2,22.6
4.4,21.2
4,22
3.4,22.4
8,23.8
3.8,11.2
3.4,7.4
3.2,7
1.8,7.2
4,9
-1,10.2
2,17.2
2,16.8
-1,17
-1.2,19
4.2,18
4.6,12
-1.6,10.4
-4.4,13.8
-4.6,14.4
-3.6,16
-3,17.6
-2.6,20.4
-1,20.6
0,19
1.6,21.6
4,23.4
4,24
4.2,25.2
3,25.4
8.8,23
4,19
7.2,22
9.4,20.2
3.2,21.4
-1,20.6
6.2,20.2
4.4,17
-3,16
-3.2,15.6
-2.6,20.4
0.4,24.2
0,23.4
4.8,26.4
4,25.6
4.4,24.6
5,19.6
5.2,13.2
-4.6,15.2
-3.2,16
-3,18.4
-1.6,20.6
-2.8,20.8
0,22.6
4,22.8
1,22
0,22.2
3.2,24
4.6,26
7,23.6
5.6,14.2
-1.6,13.8
3.2,16.8
-1.6,17.4
-2.8,18.2
-1.6,20.6
-1,24
1.8,27
3.6,30.6
5,30.6
8,33
9,21.4
8,24
3.8,28
3.8,20
1.6,19
-2,22
-2,24.2
0.6,25.6
5,25.6
6.4,29.6
9,30
10,30
11.2,34
12,23.4
13.6,18.6
14,27.8
13.2,17.6
13.2,22.2
9,23
2.8,20
3.2,24
4.4,26
7.6,28.2
8,33
9,24
6,19.8
4,24.6
5,26.2
6,29.4
8,30
14,31
11.6,21
11.2,18
8.6,18.4
8.6,27
9,28.4
10,32.2
13,33
14,31.4
12.6,28.6
12.6,20.4
14,33.6
10.6,22.6
9,30
8,17.6
7,25
10,28
10.4,28.2
10,23.6
13,26
11.6,20.4
13,25.2
14.4,28.8
16,32
16.2,33.2
9.2,32.2
8,19
7,24
13,27.6
10.4,25.2
12,31
13,32.2
14,32.2
14.6,34
14,30
14.2,32.4
18.4,37.4
18,38
14,34
17.4,34.2
19,33
19,36.4
15,33.2
14.6,18
14.6,22
14.6,27.4
10.6,31.8
9.6,14.8
14,22.2
16,24.8
16.2,28
16.4,31.4
16.6,22.2
18,26.6
17.6,30
15.4,35
15,22
13,30
11.2,15.4
14,23.2
18,29
18.6,24.4
19,33
19.2,34.2
17,37.2
17.8,23
18,27.4
19.6,32
20,29.6
20,33
20,31
18,34.6
18.4,35
18.6,30.8
19,32.2
17.2,35.6
17.2,22.2
18,26
18.2,26.6
19,24
20,27
18.4,26.6
18,24
20,30.6
18,37.6
19,23.2
18.6,28
19,24.2
20,26
20.6,29
21,32
19,33
21.2,36
19.4,37
18,24
20.6,26
21.8,36
18,26.2
20,35.2
22.2,32
20.6,36
21,33
17.2,33.2
17,28.4
21,32
17.8,34
18,25
18,32
16.4,25
17.2,22.2
16.8,30.6
17.6,32
17.4,28
21,35.6
17.2,38.4
18,25
18,24.6
18,24
20.2,33
15.4,25.2
13,28
13,31
18.4,30.2
18.4,30.8
19,32.8
19.2,32
19,34
20,34.4
20.2,32.2
20.4,33
20,35
20.4,34
20.2,36
16.8,33.2
16.8,20.2
17,22.4
15.4,20
17.6,25
20,30.8
18,28.4
19.4,31
20,31
16,28
15.8,20.2
17,24
17.4,28
17.2,31.2
17.8,30
20.6,31.4
17.6,31
18,27.2
18.6,30
19.2,31
18,29.4
17.8,22
18,27.6
18.4,31
18.4,31.2
18.2,31
18,26.8
20,29
19,28.2
20,33
18,29.4
18,24
17,26.6
18,28
18.4,30
20.2,31.2
16.6,32.2
20,31
19,28
19,30
19,32
16,24
16,22.6
16.6,25.2
17.4,26.6
18,28
15.4,24
14,18.4
14.2,18.8
15,21.4
15.4,22.6
16,21
16,24.4
17,25.4
17.2,29
14.4,21.2
13.6,21.4
12,24
14.4,26.8
16.4,24
